2021-10-08 10:12:40.821200|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2021-10-08 10:12:40.821200|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (18363) x64 (AMD or Intel) Binary: 64bit
2021-10-08 10:12:40.821200|INFO    |ServerLibPriv |   |Using hardware aes
2021-10-08 10:12:40.822201|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2021-10-08 10:12:40.822201|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2021-10-08 10:12:40.823202|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2021-10-08 10:12:40.852228|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2021-10-08 10:12:40.856231|INFO    |Accounting    |   |Licensing Information
2021-10-08 10:12:40.856231|INFO    |Accounting    |   |licensed to       : Anonymous
2021-10-08 10:12:40.856231|INFO    |Accounting    |   |type              : No License
2021-10-08 10:12:40.856231|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2021-10-08 10:12:40.856231|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2021-10-08 10:12:40.856231|INFO    |Accounting    |   |max virtualservers: 1
2021-10-08 10:12:40.856231|INFO    |Accounting    |   |max slots         : 32
2021-10-08 10:12:41.424748|INFO    |              |   |Puzzle precompute time: 557
2021-10-08 10:12:41.426750|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2021-10-08 10:12:41.442765|INFO    |Query         |   |Using a query thread pool size of 2
2021-10-08 10:12:41.484802|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2021-10-08 10:12:41.485803|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2021-10-08 10:12:41.485803|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2021-10-08 10:12:41.485803|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
